sample,fastq_1,fastq_2
P16,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/16P/ML150026785_L01_26090600300_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/16P/ML150026785_L01_26090600300_2.fq.gz
T16,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/16T/ML150026785_L01_26090600299_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/16T/ML150026785_L01_26090600299_2.fq.gz
N17,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17N/ML150026790_L01_26090600301_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17N/ML150026790_L01_26090600301_2.fq.gz
P17,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17P/ML150026790_L01_26090600303_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17P/ML150026790_L01_26090600303_2.fq.gz
T17,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17T/ML150026790_L01_26090600302_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/17T/ML150026790_L01_26090600302_2.fq.gz
N18,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18N/ML150026790_L01_26090600304_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18N/ML150026790_L01_26090600304_2.fq.gz
P18,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18P/ML150026790_L01_26090600306_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18P/ML150026790_L01_26090600306_2.fq.gz
T18,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18T/ML150026790_L01_26090600305_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/18T/ML150026790_L01_26090600305_2.fq.gz
N19,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19N/ML150026790_L01_26090600307_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19N/ML150026790_L01_26090600307_2.fq.gz
P19,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19P/ML150026790_L01_26090600309_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19P/ML150026790_L01_26090600309_2.fq.gz
T19,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19T/ML150026790_L01_26090600308_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/19T/ML150026790_L01_26090600308_2.fq.gz
N1,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/1N/ML150026785_L01_26090600265_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/1N/ML150026785_L01_26090600265_2.fq.gz
T1,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/1T/ML150026785_L01_26090600266_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/1T/ML150026785_L01_26090600266_2.fq.gz
N20,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/20N/ML150026790_L01_26090600310_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/20N/ML150026790_L01_26090600310_2.fq.gz
T20,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/20T/ML150026790_L01_26090600311_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/20T/ML150026790_L01_26090600311_2.fq.gz
N2,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/2N/ML150026785_L01_26090600267_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/2N/ML150026785_L01_26090600267_2.fq.gz
T2,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/2T/ML150026785_L01_26090600268_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/2T/ML150026785_L01_26090600268_2.fq.gz
N3,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/3N/ML150026785_L01_26090600269_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/3N/ML150026785_L01_26090600269_2.fq.gz
T3,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/3T/ML150026785_L01_26090600270_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/3T/ML150026785_L01_26090600270_2.fq.gz
N4,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/4N/ML150026785_L01_26090600271_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/4N/ML150026785_L01_26090600271_2.fq.gz
T4,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/4T/ML150026785_L01_26090600272_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/4T/ML150026785_L01_26090600272_2.fq.gz
N5,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/5N/ML150026785_L01_26090600273_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/5N/ML150026785_L01_26090600273_2.fq.gz
T5,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/5T/ML150026785_L01_26090600274_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/5T/ML150026785_L01_26090600274_2.fq.gz
N6,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/6N/ML150026785_L01_26090600275_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/6N/ML150026785_L01_26090600275_2.fq.gz
T6,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/6T/ML150026785_L01_26090600276_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/6T/ML150026785_L01_26090600276_2.fq.gz
N7,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/7N/ML150026785_L01_26090600277_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/7N/ML150026785_L01_26090600277_2.fq.gz
T7,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/7T/ML150026785_L01_26090600278_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/7T/ML150026785_L01_26090600278_2.fq.gz
N8,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/8N/ML150026785_L01_26090600279_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/8N/ML150026785_L01_26090600279_2.fq.gz
T8,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/8T/ML150026785_L01_26090600280_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/8T/ML150026785_L01_26090600280_2.fq.gz
N9,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/9N/ML150026785_L01_26090600281_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/9N/ML150026785_L01_26090600281_2.fq.gz
T9,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/9T/ML150026785_L01_26090600282_1.fq.gz,/data/xrz/capint/data_20260914/20260914_JX2025060502-72/9T/ML150026785_L01_26090600282_2.fq.gz

